"id";"name";"is_active";"is_bookie";"is_exchange";"is_broker";"is_sharp";"is_soft";"is_global";"is_local";"local_country_id";"allowed_in_se";"provider_id";"provider_webName";"provider_webUrl";"provider_active";"provider_isNew";"provider_newTo";"provider_preferredCountryID"
1;"Interwetten";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"1";"Interwetten";"interwetten";"y";0;"0";"0"
2;"bwin";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"2";"bwin";"bwin";"y";0;"0";"0"
3;"bet-at-home";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"3";"bet-at-home";"bet-at-home";"y";0;"0";"0"
4;"Centrebet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"4";"Centrebet";"centrebet";"n";0;"0";"0"
5;"Unibet";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"5";"Unibet";"unibet";"y";0;"0";"0"
7;"Betsson exch.";0;0;1;"\N";"\N";"\N";"\N";0;0;"\N";"7";"Betsson exch.";"betsson-exch";"n";0;"0";"0"
8;"Stan James";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"8";"Stan James";"stan-james";"n";0;"0";"0"
9;"Expekt";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"9";"Expekt";"expekt";"y";0;"0";"0"
10;"PartyBets";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"10";"PartyBets";"partybets";"n";0;"0";"0"
11;"Gamebookers";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"11";"Gamebookers";"gamebookers";"n";0;"0";"0"
12;"Canbet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"12";"Canbet";"canbet";"n";0;"0";"0"
14;"10Bet";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"14";"10Bet";"10bet";"y";0;"0";"0"
15;"William Hill";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"15";"William Hill";"william-hill";"y";0;"0";"0"
16;"bet365";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"16";"bet365";"bet365";"y";0;"0";"0"
17;"Blue Square";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"17";"Blue Square";"blue-square";"n";0;"0";"0"
18;"Pinnacle";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"18";"Pinnacle";"pinnacle";"y";0;"0";"0"
19;"Sports Interaction";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"19";"Sports Interaction";"sports-interaction";"n";0;"0";"0"
20;"5Dimes";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"20";"5Dimes";"5dimes";"n";0;"0";"0"
21;"Betfred";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"21";"Betfred";"betfred";"y";0;"0";"0"
23;"DOXXbet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"23";"DOXXbet";"doxxbet";"n";0;"0";"0"
24;"Betsafe";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"24";"Betsafe";"betsafe";"y";0;"0";"0"
26;"Betway";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"26";"Betway";"betway";"y";0;"0";"0"
27;"888sport";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"27";"888sport";"888sport";"y";0;"0";"0"
28;"Ladbrokes";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"28";"Ladbrokes";"ladbrokes";"n";0;"0";"0"
29;"Sunmaker";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"29";"Sunmaker";"sunmaker";"n";0;"0";"0"
30;"BoyleSports";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"30";"BoyleSports";"boylesports";"y";0;"0";"0"
31;"Intertops";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"31";"Intertops";"intertops";"y";0;"0";"0"
32;"Betclic";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"32";"Betclic";"betclic";"n";0;"0";"0"
33;"NordicBet";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"33";"NordicBet";"nordicbet";"y";0;"0";"0"
34;"Bodog";0;1;0;"\N";"\N";"\N";"\N";1;47;"\N";"34";"Bodog";"bodog";"n";0;"0";"47"
35;"Eurobet";0;1;0;"\N";"\N";"\N";"\N";1;98;"\N";"35";"Eurobet";"eurobet";"n";0;"0";"98"
38;"Sportingbet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"38";"Sportingbet";"sportingbet";"n";0;"0";"0"
39;"Betdaq";0;0;1;"\N";"\N";"\N";"\N";0;0;"\N";"39";"Betdaq";"betdaq";"n";0;"0";"0"
40;"Sportbet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"40";"Sportbet";"sportbet";"n";0;"0";"0"
41;"mybet";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"41";"mybet";"mybet";"n";0;"0";"0"
43;"Betsson";1;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"43";"Betsson";"betsson";"y";0;"0";"0"
44;"Betfair Exchange";1;0;1;"\N";"\N";"\N";"\N";0;0;"\N";"44";"Betfair Exchange";"betfair-exchange";"y";0;"0";"0"
45;"Chance.cz";1;1;0;"\N";"\N";"\N";"\N";1;62;"\N";"45";"Chance.cz";"chance-cz";"y";0;"0";"62"
46;"iFortuna.cz";1;1;0;"\N";"\N";"\N";"\N";1;62;"\N";"46";"iFortuna.cz";"ifortuna-cz";"y";0;"1340025478";"62"
47;"MAXITIP.cz";0;1;0;"\N";"\N";"\N";"\N";1;62;"\N";"47";"MAXITIP.cz";"maxitip-cz";"n";0;"0";"62"
49;"Tipsport.cz";1;1;0;"\N";"\N";"\N";"\N";1;62;"\N";"49";"Tipsport.cz";"tipsport-cz";"y";0;"0";"62"
53;"bwin.it";1;1;0;"\N";"\N";"\N";"\N";1;98;"\N";"53";"bwin.it";"bwin-it";"y";0;"0";"98"
54;"Bet24";0;1;0;"\N";"\N";"\N";"\N";0;0;"\N";"54";"Bet24";"bet24";"n";0;"0";"0"
